"id","name","type","lat","lon","radius_km","priority","region","corridor"
"toronto-hub","Toronto Distribution Hub","distribution_center","43.6532","-79.3832","35","5","Ontario","ON-401 / GTA"
"montreal-hub","Montreal Cross-Dock","cross_dock","45.5017","-73.5673","35","5","Quebec","A-20 / A-40"
"vancouver-port","Vancouver Port Gateway","port_gateway","49.2827","-123.1207","30","5","West","BC Lower Mainland"
"calgary-yard","Calgary Freight Yard","freight_yard","51.0447","-114.0719","35","4","Prairies","AB-2 / Trans-Canada"
"edmonton-hub","Edmonton Regional Hub","distribution_center","53.5461","-113.4938","35","4","Prairies","AB-2 / Yellowhead"
"winnipeg-hub","Winnipeg Prairie Hub","distribution_center","49.8951","-97.1384","35","4","Prairies","Trans-Canada / Perimeter"
"ottawa-depot","Ottawa Service Depot","service_depot","45.4215","-75.6972","25","3","Ontario","ON-417 / Ottawa"
"halifax-port","Halifax Atlantic Gateway","port_gateway","44.6488","-63.5752","25","3","Atlantic","NS-102 / Atlantic Gateway"
"grand-falls-nb","GRAND FALLS (NB)","facility","47.05805556","-67.74916667","0.1","1","Atlantic","Facility point"
"woodstock","WOODSTOCK","facility","46.14694444","-67.62055556","0.1","1","Atlantic","Facility point"
"toronto-west","TORONTO WEST","facility","43.60193657","-79.53184770","0.1","1","Ontario","Facility point"
"chibougamau","CHIBOUGAMAU","facility","49.91166667","-74.37583333","0.1","1","Quebec","Facility point"
"port-cartier","PORT CARTIER","facility","50.03472222","-66.84638889","0.1","1","Quebec","Facility point"
"north-bay","NORTH BAY","facility","46.30583333","-79.42416667","0.1","1","Ontario","Facility point"
"sault-ste-marie","SAULT STE. MARIE","facility","46.54805556","-84.32666667","0.1","1","Ontario","Facility point"
"timmins","TIMMINS","facility","48.45972222","-81.33750000","0.1","1","Ontario","Facility point"
"new-liskeard","NEW LISKEARD","facility","47.50777778","-79.68472222","0.1","1","Ontario","Facility point"
"guelph","GUELPH","facility","43.54027778","-80.30194444","0.1","1","Ontario","Facility point"
"stratford","STRATFORD","facility","43.37444444","-80.95083333","0.1","1","Ontario","Facility point"
"brantford","BRANTFORD","facility","43.17611111","-80.34388889","0.1","1","Ontario","Facility point"
"kitchener","KITCHENER","facility","43.47527778","-80.43222222","0.1","1","Ontario","Facility point"
"brandon","BRANDON","facility","49.83305556","-99.91694444","0.1","1","Prairies","Facility point"
"kenora","KENORA","facility","49.75972222","-94.47027778","0.1","1","Ontario","Facility point"
"fort-frances","FORT FRANCES","facility","48.60083333","-93.44972222","0.1","1","Ontario","Facility point"
"prince-albert","PRINCE ALBERT","facility","53.18055556","-105.75166667","0.1","1","Prairies","Facility point"
"yorkton","YORKTON","facility","51.21055556","-102.50111111","0.1","1","Prairies","Facility point"
"dauphin","DAUPHIN","facility","51.26861111","-100.13333333","0.1","1","Prairies","Facility point"
"red-deer","RED DEER","facility","52.24111111","-113.81750000","0.1","1","Prairies","Facility point"
"medicine-hat","MEDICINE HAT","facility","50.02444444","-110.70500000","0.1","1","Prairies","Facility point"
"lethbridge","LETHBRIDGE","facility","49.71138889","-112.79361111","0.1","1","Prairies","Facility point"
"calgary-south","CALGARY SOUTH","facility","50.92250000","-113.96305600","0.1","1","Prairies","Facility point"
"regina","REGINA","facility","50.47833333","-104.57777778","0.1","1","Prairies","Facility point"
"swift-current","SWIFT CURRENT","facility","50.28444444","-107.80750000","0.1","1","Prairies","Facility point"
"kindersley","KINDERSLEY","facility","51.47250000","-109.16861111","0.1","1","Prairies","Facility point"
"north-battleford","NORTH BATTLEFORD","facility","52.74555556","-108.25333333","0.1","1","Prairies","Facility point"
"matane","MATANE","facility","48.83250000","-67.56666667","0.1","1","Quebec","Facility point"
"murdochville","MURDOCHVILLE","facility","49.22888889","-65.73305556","0.1","1","Quebec","Facility point"
"ste-anne-des-monts","STE ANNE DES MONTS","facility","49.12416667","-66.53861111","0.1","1","Quebec","Facility point"
"forestville","FORESTVILLE","facility","48.74361111","-69.08666667","0.1","1","Quebec","Facility point"
"iles-de-la-madeleine","ILES DE LA MADELEINE","facility","47.37944444","-61.85972222","0.1","1","Quebec","Facility point"
"new-richmond","NEW RICHMOND","facility","48.15555556","-65.84250000","0.1","1","Quebec","Facility point"
"gaspe","GASPE","facility","48.80722222","-64.49111111","0.1","1","Quebec","Facility point"
"dryden","DRYDEN","facility","49.78944444","-92.81972222","0.1","1","Ontario","Facility point"
"peterborough","PETERBOROUGH","facility","44.26388889","-78.35333333","0.1","1","Ontario","Facility point"
"belleville","BELLEVILLE","facility","44.21111111","-77.37833333","0.1","1","Ontario","Facility point"
"chatham","CHATHAM","facility","42.39361111","-82.18527778","0.1","1","Ontario","Facility point"
"camrose","CAMROSE","facility","53.02361111","-112.82305556","0.1","1","Prairies","Facility point"
"cold-lake","COLD LAKE","facility","54.41527778","-110.21361111","0.1","1","Prairies","Facility point"
"high-prairie","HIGH PRAIRIE","facility","55.43055556","-116.48861111","0.1","1","Prairies","Facility point"
"jasper","JASPER","facility","52.87370000","-118.08140000","0.1","1","Prairies","Facility point"
"slave-lake","SLAVE LAKE","facility","55.29361111","-114.76611111","0.1","1","Prairies","Facility point"
"lloydminster","LLOYDMINSTER","facility","53.28444444","-110.00694444","0.1","1","Prairies","Facility point"
"high-level","HIGH LEVEL","facility","58.49305556","-117.15694444","0.1","1","Prairies","Facility point"
"grande-prairie","GRANDE PRAIRIE","facility","55.16361111","-118.84000000","0.1","1","Prairies","Facility point"
"vermilion","VERMILION","facility","53.34722222","-110.83611111","0.1","1","Prairies","Facility point"
"yellowknife","YELLOWKNIFE","facility","62.42805556","-114.42138889","0.1","1","North","Facility point"
"edson","EDSON","facility","53.58111111","-116.42750000","0.1","1","Prairies","Facility point"
"hinton","HINTON","facility","53.40388889","-117.58333333","0.1","1","Prairies","Facility point"
"fort-mcmurray","FORT MCMURRAY","facility","56.66861111","-111.33055556","0.1","1","Prairies","Facility point"
"peace-river","PEACE RIVER","facility","56.22861111","-117.33972222","0.1","1","Prairies","Facility point"
"winnipeg-air","WINNIPEG AIR","facility","49.89805556","-97.22000000","0.1","1","Prairies","Facility point"
"mirabel-air","MIRABEL AIR","facility","45.67861111","-74.04611111","0.1","1","Quebec","Facility point"
